codigo,detalle
I04000099062,"FILTRO PARA MANGAS"
I04000099063,"GRATA 3"" TRENZA GRUESA"
I04000099064,INOCULANTE
I04000099065,LIJA
I04000099066,"LINGOTE PARA NODULAR"
I04000099067,"MANGA 150X195 F"
I04000099068,"MANGA CIL 100 XPH"
I04000099069,"MANGA CIL 110 H150"
I04000099070,"MANGA CIL 110 H160"
I04000099071,"MANGA CIL 120"
I04000099072,"MANGA CIL 180 H250"
I04000099073,"MANGA CIL 230 F"
I04000099074,"MANGA CIL 230 H300"
I04000099075,"MANGA CIL 250"
I04000099076,"MANGA CIL 250 H250"
I04000099077,"MANGA CIL 250 H250 F"
I04000099078,"MANGA CIL 250 H350 F"
I04000099079,"MANGA CIL 250 H400 F"
I04000099080,"MANGA CIL 280 H340"
I04000099081,"MANGA CIL 300"
I04000099082,"MANGA CIL 300 H360"
I04000099083,"MANGA CIL 360"
I04000099084,"MANGA CIL 80"
I04000099085,"MANGA CODO 150 A45"
I04000099086,"MANGA CODO 150 A45 F"
I04000099087,"MANGA CODO 180 SUPLE 100 A45"
I04000099088,"MANGA CODO 200 A45"
I04000099089,"MANGA CODO 200 SUPLE 100 A45"
I04000099090,"MANGA CODO 250 A45 F"
I04000099091,"MANGA KALPUR ST 2X6 F"
I04000099092,"MANGA KALPUR ST 3X6 F"
I04000099093,"MANGA KALPUR ST 4X7 F"
I04000099094,"MANGA KALPUR ST 5X8 F"
I04000099095,"MANGA KALPUR ST 6X9 F"
I04000099096,"MANGA KAPEX SE 6 F"
I04000099097,"MANGA ND 100"
I04000099098,"MANGA ND 100 NES"
I04000099099,"MANGA ND 110"
M01020840033,"MODELO INSERTO P01020840033"
M01020860001,"MODELO PLACA CURVA CON BISEL A3002"
M01020860042,"MODELO PLACA DESGASTE B1001"
M03000099001,"CATALIZADOR H 20"
M03000099002,"PINTURA ZIRCONIO"
M03000099003,RESINA
M03000099004,"PINTURA ZIRCONIO PASTA"
M03000099006,"AGUA DESTILADA "
M03000099005,ALCOHOL
M04000099001,"ALUMINIO ESTRELLA "
M04000099002,"FE CR BC"
M04000099003,"FE MN MC "
M04000099004,"FE MN STD AC"
M04000099005,"FE MO "
M04000099006,"FE REDONDO LISO 3/4"""
M04000099007,"FE SI 75 % (COLPA) "
M04000099008,"FE SI CA (SICA)"
M04000099009,"FE SI MG (NODULIZANTE)"
M04000099010,GRAFITO
M05000099001,"ARENA CROMITA"
M05000099002,"ARENA SILICE"
M05000099003,"ARENA ZIRCONIO"
O00000000001,"RODAMIENTO 232226 MOD. 765"
O00000000002,"DESCANSO RODAMIENTO 765"
O00000017001,"CHAPA 1145"
O00000017002,"CHAPA 1315"
O00000017003,"CHAPA 765"
O00000017004,"CHAPA 975"
O00000017005,"CHAPA CON PERNO TIPO COCHE Y TUERCA"
O00000023001,"CUBRE ACOPLAMIENTO MOD. 765"
O00000032001,"EJE CON ACOPLAMIENTO PULVO 765"
O00000032002,"EJE CON MACHON PULVOMATIC 975"
O00000032003,"EJE MOTRIZ 975"
O00000032004,"EJE PULVOMATIC 765"
O00000033001,"EQUIPO PULVOMATIC 765"
O00000044001,"LATA GRASA DE LITIO SKF (18 KILOS)"
O00000057001,"PERNO CHAPA 765"
O00000057002,"PERNO FORRO"
O00000057003,"PERNO LABIO "
O00000057004,"PERNO PLACA"
O00000057005,"PERNO PLACA 765"
O00000057006,"PERNO ROTOR 1145"
O00000057007,"PERNO ROTOR 1315"
O00000057008,"PERNO ROTOR 765"
O00000057009,"PERNO ROTOR 975"
O00000057010,"PERNO MOLINO 3/4 X 10"
O00000057011,"PERNO COCHE C/GOLILLA Y TUERCA "
O00000057012,"PERNO HEX. 3/4 X 3"" L C/TUERCA Y GOLILLA"
O00000064001,"POLEA CONDUCIDA SIST. 765"
O00000064002,"POLEA CONDUCIDA SIST. 975"
O00000074001,"SISTEMA MOTRIZ PULVOMATIC 765"
O00000074002,"SISTEMA MOTRIZ PULVOMATIC 975"
O00000075001,"SOLDADURA BOTTTON PISTON Y PLATE"
O00000081001,"TORNILLO ROTOR"
O00000085001,"TUERCA PERNO ROTOR 975"
O00000099001,"SERVICIO QUEMA PRODUCOS DERCOMISO"
O00000099002,"SCR IP147-1133 (REP HORNO INDUCCION)"
O00010241001,"JGO. DESCANSO PULVOMATIC 765"
O00020841001,"JGO. DE RODAMIENTO 975"
O01000051001,"MACHON PRINCIPAL MOD. 765"
O02000057001,"PERNO MOLINO M20, PASO 2,5 X 80 GRADO 8,8"
