codigo,detalle
P02100090245,"PLACA DESGASTE CGC-15 MO (PROY 26)"
P02100090246,"PLACA DESGASTE CGC-15 OP (PROY 26)"
P02100090247,"PLACA DESGASTE CGC-16 MO (PROY 26)"
P02100090248,"PLACA DESGASTE CGC-16 OP (PROY 26)"
P02100090249,"PLACA DESGASTE CGC-17 MO (PROY 26)"
P02100090250,"PLACA DESGASTE CGC-17 OP (PROY 26)"
P02100090251,"PLACA DESGASTE CGC-18 MO (PROY 26)"
P02100090252,"PLACA DESGASTE CGC-18 OP (PROY 26)"
P02100090253,"PLACA DESGASTE CGC-19 MO (PROY 26)"
P02100090254,"PLACA DESGASTE CGC-19 OP (PROY 26)"
P02100090255,"PLACA DESGASTE CGC-20 MO (PROY 26)"
P02100090256,"PLACA DESGASTE CGC-20 OP (PROY 26)"
P02100090257,"PLACA DESGASTE CGC-21 MO (PROY 26)"
P02100090258,"PLACA DESGASTE CGC-21 OP (PROY 26)"
P02100090259,"PLACA DESGASTE CGC-22 MO (PROY 26)"
P02100090260,"PLACA DESGASTE CGC-22 OP (PROY 26)"
P02100090261,"PLACA DESGASTE CGC-23 MO (PROY 26)"
P02100090262,"PLACA DESGASTE CGC-23 OP (PROY 26)"
P02100090263,"PLACA DESGASTE CGC-24 MO (PROY 26)"
P02100090264,"PLACA DESGASTE CGC-24 OP (PROY 26)"
P02110090001,"PLACA DE DESGASTE CG-05  (PROY 16)"
P02110090002,"PLACA DE DESGASTE CG-06  (PROY 16)"
P02110090003,"PLACA DE DESGASTE CG-10  (PROY 16)"
P02110090004,"PLACA DE DESGASTE CG-47  (PROY 16)"
P02110090005,"PLACA DE DESGASTE CG-48  (PROY 16)"
P02110090006,"PLACA DE DESGASTE CG-49  (PROY 16)"
P02110090007,"PLACA DE DESGASTE CG-50  (PROY 16)"
P02110090008,"PLACA DE DESGASTE CG-51  (PROY 16)"
P02110090009,"PLACA DE DESGASTE CG-52  (PROY 16)"
P02110090010,"PLACA DE DESGASTE CG-53  (PROY 16)"
P02110090011,"PLACA DE DESGASTE CG-54  (PROY 16)"
P02110090012,"PLACA DE DESGASTE CG-55  (PROY 16)"
P02110090013,"PLACA DE DESGASTE CG-56  (PROY 16)"
P02110090014,"PLACA DE DESGASTE CG-57  (PROY 16)"
P02110090015,"PLACA DE DESGASTE CG-58  (PROY 16)"
P02110090016,"PLACA DE DESGASTE CG-59  (PROY 16)"
P02110090017,"PLACA DE DESGASTE CG-60  (PROY 16)"
P02110090018,"PLACA DE DESGASTE CG-61  (PROY 16)"
P02110090019,"PLACA DE DESGASTE CG-62  (PROY 16)"
P02110090020,"PLACA DE DESGASTE CG-63  (PROY 16)"
P02110090021,"PLACA DE DESGASTE CG-64  (PROY 16)"
P02110090022,"PLACA DE DESGASTE CG-65  (PROY 16)"
P02110090023,"PLACA DE DESGASTE CG-66  (PROY 16)"
P02110090024,"PLACA DE DESGASTE CG-67  (PROY 16)"
P02110090025,"PLACA DE DESGASTE CG-68  (PROY 16)"
P02110090026,"PLACA DE DESGASTE CG-69  (PROY 16)"
P02110090027,"PLACA DE DESGASTE CG-70  (PROY 16)"
P02110090028,"PLACA DE DESGASTE CG-71  (PROY 16)"
P02110090029,"PLACA DE DESGASTE CG-72  (PROY 16)"
P02110090030,"PLACA DE DESGASTE CG-73  (PROY 16)"
P02110090031,"PLACA DE DESGASTE CG-74  (PROY 16)"
P02110090032,"PLACA DE DESGASTE CG-75  (PROY 16)"
P02110090033,"PLACA DE DESGASTE CG-76  (PROY 16)"
P02110090034,"PLACA DE DESGASTE CG-77  (PROY 16)"
P02110090035,"PLACA DE DESGASTE CG-78  (PROY 16)"
P02110090036,"PLACA DE DESGASTE CG-79  (PROY 16)"
P02110090037,"PLACA DE DESGASTE CG-80  (PROY 16)"
P02110090038,"PLACA DE DESGASTE CG-81  (PROY 16)"
P02110090039,"PLACA DE DESGASTE CG-82  (PROY 16)"
P02110090040,"PLACA DE DESGASTE CG-83  (PROY 16)"
P02110090041,"PLACA DE DESGASTE CG-84  (PROY 16)"
P02110090042,"PLACA DE DESGASTE CG-85  (PROY 16)"
P02110090043,"PLACA DE DESGASTE CG-86  (PROY 16)"
P02110090044,"PLACA DE DESGASTE CG-87  (PROY 16)"
P02110090045,"PLACA DE DESGASTE CG-88  (PROY 16)"
P02110090046,"PLACA CGC01  (PROY 49)"
P02110090047,"PLACA CGC02  (PROY 49)"
P02110090048,"PLACA CGC03  (PROY 49)"
P02110090049,"PLACA CGC04  (PROY 49)"
P02110090050,"PLACA CGC05  (PROY 49)"
P02110090051,"PLACA CGC06  (PROY 49)"
P02110090052,"PLACA CGC07  (PROY 49)"
P02110090053,"PLACA CGC08  (PROY 49)"
P02110090054,"PLACA CGC09  (PROY 49)"
P02110090055,"PLACA CGC10  (PROY 49)"
P02110090056,"PLACA CGC11  (PROY 49)"
P02110090057,"PLACA CGC12  (PROY 49)"
P02110090058,"PLACA CGC13  (PROY 49)"
P02110090059,"PLACA CGC14  (PROY 49)"
P02110090060,"PLACA CGC15  (PROY 49)"
P02110090061,"PLACA CGC16  (PROY 49)"
P02110090062,"PLACA CGC17  (PROY 49)"
P02110090063,"PLACA CGC18  (PROY 49)"
P02110090064,"PLACA CGC19  (PROY 49)"
P02110090065,"PLACA CGC20  (PROY 49)"
P02110090066,"PLACA CGC21  (PROY 49)"
P02110090067,"PLACA CGC22  (PROY 49)"
P02110090068,"PLACA CGC23  (PROY 49)"
P02110090069,"PLACA CGC24  (PROY 49)"
P02110090070,"PLACA CGC25  (PROY 49)"
P02110090071,"PLACA CGC26  (PROY 49)"
P02110090072,"PLACA CGC27  (PROY 49)"
P02110090073,"PLACA CGC28  (PROY 49)"
P02110090074,"PLACA CGC29  (PROY 49)"
P02110090075,"PLACA CGC30  (PROY 49)"
P02110090076,"PLACA CGC31  (PROY 49)"
P02110090077,"PLACA CGC32  (PROY 49)"
P02110090078,"PLACA CGC33  (PROY 49)"
P02110090079,"PLACA CGC34  (PROY 49)"
P02110090080,"PLACA CGC35  (PROY 49)"
P02110090081,"PLACA CGC36  (PROY 49)"
P02110090082,"PLACA CGC37  (PROY 49)"
P02110090083,"PLACA CGC38  (PROY 49)"
P02110090084,"PLACA CGC39  (PROY 49)"
P02110090085,"PLACA CGC40  (PROY 49)"
P02110090086,"PLACA CGC41  (PROY 49)"
P02110090087,"PLACA CGC42  (PROY 49)"
P02110090088,"PLACA CGC43  (PROY 49)"
P02110090089,"PLACA CGC44  (PROY 49)"
P02110090090,"PLACA CGC45  (PROY 49)"
P02110090091,"PLACA CGC46  (PROY 49)"
P02110090092,"PLACA CGC47  (PROY 49)"
P02110090093,"PLACA CGC48  (PROY 49)"
P02110090094,"PLACA CGC49 MO (PROY 49)"
P02110090095,"PLACA CGC49 OP (PROY 49)"
P02110090096,"PLACA CGC50 MO (PROY 49)"
P02110090097,"PLACA CGC50 OP (PROY 49)"
P02110090098,"PLACA CGC51 MO (PROY 49)"
P02110090099,"PLACA CGC51 OP (PROY 49)"
P02110090100,"PLACA CGC52  (PROY 49)"
P02110090101,"PLACA CGC53  (PROY 49)"
P02110090102,"PLACA CGC54  (PROY 49)"
P02110090103,"PLACA CGC55  (PROY 49)"
P02110090104,"PLACA CGC56  (PROY 49)"
P02110090105,"PLACA CGC57  (PROY 49)"
P02110090106,"PLACA CGC58  (PROY 49)"
P02110090107,"PLACA CGC59  (PROY 49)"
P02110090108,"PLACA CGC60  (PROY 49)"
P02110090109,"PLACA CGC61  (PROY 49)"
P02110090110,"PLACA CGC62  (PROY 49)"
P02110090111,"PLACA CGC63  (PROY 49)"
P02110090112,"PLACA CGC64  (PROY 49)"
P02110090113,"PLACA CGC65  (PROY 49)"
P02110090114,"PLACA CGC66  (PROY 49)"
P02110090115,"PLACA CGC67  (PROY 49)"
P02110090116,"PLACA CGC68  (PROY 49)"
P02110090117,"PLACA CGC69  (PROY 49)"
P02110090118,"PLACA CGC70  (PROY 49)"
P02110090119,"LIFTER 165X140X2076  (PROY 271)"
P02110090120,"LIFTER 165X140X1555  (PROY 271)"
P02110090121,"LIFTER 165X140X1025  (PROY 271)"
P02110090122,"LIFTER 165X140X927  (PROY 271)"
P02110090123,"LIFTER 165X140X829  (PROY 271)"
P02110090124,"LIFTER 165X140X731  (PROY 271)"
P02110090125,"LIFTER 165X140X633  (PROY 271)"
P02110090126,"LIFTER 165X140X538  (PROY 271)"
P02110090127,"LIFTER 165X140X327  (PROY 271)"
P02110090128,"LIFTER 165X140X356  (PROY 271)"
P02110090129,"LIFTER 165X140X431  (PROY 271)"
P02110090130,"LIFTER 165X140X577  (PROY 271)"
P02110090131,"LIFTER 165X140X2076  (PROY 271)"
P02110090132,"LIFTER 165X140X986  (PROY 271)"
P02110093001,"PLACA DESGASTE LP1 (PL100-216X100)"
P02110093003,"PLACA DESGASTE PLT4 (PL50-354X166)"
P02110093004,"PLACA DESGASTE PLT5 (PL50-342X166X91)"
P02110093005,"PLACA DESGASTE PLT5X (PL50-342X166X91)"
P02110093006,"PLACA DESGASTE PLT6 (PL50-354X383X218)"
P02110093007,"PLACA DESGASTE PLT6X (PL50-354X383X218)"
P02110093009,"PLACA DESGASTE PLT7X (PL50-354X395X230)"
P02110093010,"PLACA DESGASTE PLT8 (PL50-354X174)"
P02110093011,"PLACA DESGASTE PLT9 (PL50-354X354)"
P02110093012,"PLACA DESGASTE PLT10 (PL50-354X407X238)"
P02110093013,"PLACA DESGASTE PLT10X (PL50-354X407X238)"
P02110093014,"PLACA DESGASTE PLT11 (PL50-418X174)"
P02110093015,"PLACA DESGASTE PLT12 (PL50-326X285)"
P02120090001,"PLACA DESGASTE CGC-01 MO (PROY 26)"
P02120090002,"PLACA DESGASTE CGC-01 OP (PROY 26)"
P02120090003,"PLACA DESGASTE CGC-02 MO (PROY 26)"
P02120090004,"PLACA DESGASTE CGC-02 OP (PROY 26)"
P02120090005,"PLACA DESGASTE CGC-03 MO (PROY 26)"
P02120090006,"PLACA DESGASTE CGC-03 OP (PROY 26)"
P02120090007,"PLACA DESGASTE CGC-04 MO (PROY 26)"
P02120090008,"PLACA DESGASTE CGC-04 OP (PROY 26)"
P02120090009,"PLACA DESGASTE CGC-05 MO (PROY 26)"
P02120090010,"PLACA DESGASTE CGC-05 OP (PROY 26)"
P02120090011,"PLACA DESGASTE CGC-06 MO (PROY 26)"
P02120090012,"PLACA DESGASTE CGC-06 OP (PROY 26)"
P02120090013,"PLACA DESGASTE CGC-07 MO (PROY 26)"
P02120090014,"PLACA DESGASTE CGC-07 OP (PROY 26)"
P02120090015,"PLACA DESGASTE CGC-08 MO (PROY 26)"
P02120090016,"PLACA DESGASTE CGC-08 OP (PROY 26)"
P02120090017,"PLACA DESGASTE CGC-09 MO (PROY 26)"
P02120090018,"PLACA DESGASTE CGC-09 OP (PROY 26)"
P02120090019,"PLACA DESGASTE CGC-10 MO (PROY 26)"
P02120090020,"PLACA DESGASTE CGC-10 OP (PROY 26)"
P02120090021,"PLACA DESGASTE CGC-11 MO (PROY 26)"
P02120090022,"PLACA DESGASTE CGC-11 OP (PROY 26)"
P02120090023,"PLACA DESGASTE CGC-12 MO (PROY 26)"
P02120090024,"PLACA DESGASTE CGC-12 OP (PROY 26)"
P02120090025,"PLACA DESGASTE CGC-13 MO (PROY 26)"
P02120090026,"PLACA DESGASTE CGC-13 OP (PROY 26)"
P02120090027,"PLACA DESGASTE CGC-14 MO (PROY 26)"
P02120090028,"PLACA DESGASTE CGC-14 OP (PROY 26)"
P02120090029,"PLACA DESGASTE CGC-15 MO (PROY 26)"
P02120090030,"PLACA DESGASTE CGC-15 OP (PROY 26)"
P02120090031,"PLACA DESGASTE CGC-16 MO (PROY 26)"
P02120090032,"PLACA DESGASTE CGC-16 OP (PROY 26)"
P02120090033,"PLACA DESGASTE CGC-17 MO (PROY 26)"
P02120090034,"PLACA DESGASTE CGC-17 OP (PROY 26)"
P02120090035,"PLACA DESGASTE CGC-18 MO (PROY 26)"
P02120090036,"PLACA DESGASTE CGC-18 OP (PROY 26)"
P02120090037,"PLACA DESGASTE CGC-19 MO (PROY 26)"
P02120090038,"PLACA DESGASTE CGC-19 OP (PROY 26)"
P02120090039,"PLACA DESGASTE CGC-20 MO (PROY 26)"
P02120090040,"PLACA DESGASTE CGC-20 OP (PROY 26)"
P02120090041,"PLACA DESGASTE CGC-21 MO (PROY 26)"
P02120090042,"PLACA DESGASTE CGC-21 OP (PROY 26)"
P02120090043,"PLACA DESGASTE CGC-22 MO (PROY 26)"
P02120090044,"PLACA DESGASTE CGC-22 OP (PROY 26)"
P02120090045,"PLACA DESGASTE CGC-23 MO (PROY 26)"
P02120090046,"PLACA DESGASTE CGC-23 OP (PROY 26)"
P02120090047,"PLACA DESGASTE CGC-24 MO (PROY 26)"
P02120090048,"PLACA DESGASTE CGC-24 OP (PROY 26)"
P02120090049,"PLACA DESGASTE CGC-25 MO (PROY 26)"
P02120090050,"PLACA DESGASTE CGC-25 OP (PROY 26)"
P02120090051,"PLACA DESGASTE CGC-01 MO (PROY 26)"
P02120090052,"PLACA DESGASTE CGC-01 OP (PROY 26)"
P02120090053,"REVESTIMIENTO RF-01  (PROY 224)"
P02120090054,"REVESTIMIENTO RF-02  (PROY 224)"
P02120090055,"REVESTIMIENTO RF-03 MO (PROY 224)"
P02120090056,"REVESTIMIENTO RF-03 OP (PROY 224)"
P02120090057,"REVESTIMIENTO RF-04 MO (PROY 224)"
P02120090058,"REVESTIMIENTO RF-04 OP (PROY 224)"
P02120090059,"REVESTIMIENTO RF-01  (PROY 222)"
P02120090060,"REVESTIMIENTO RF-02  (PROY 222)"
P02120090061,"FABRICACIÓN ACERO 12 MM  (PROY 271)"
P02130090001,"PLACA DESGASTE CBM-01  (PROY 31)"
P02130090002,"PLACA DESGASTE CBM-02  (PROY 31)"
P02130090003,"PLACA DESGASTE CBM-03  (PROY 31)"
P02130090004,"PLACA DESGASTE CBM-04 MO (PROY 31)"
P02130090005,"PLACA DESGASTE CBM-04 OP (PROY 31)"
P02130090006,"PLACA DESGASTE CBM-05 MO (PROY 31)"
P02130090007,"PLACA DESGASTE CBM-05 OP (PROY 31)"
P02130090008,"PLACA DESGASTE CBM-06  (PROY 31)"
P02130090009,"PLACA DESGASTE CBM-07 MO (PROY 31)"
P02130090010,"PLACA DESGASTE CBM-07 OP (PROY 31)"
P02130090011,"PLACA DESGASTE CBM-08 MO (PROY 31)"
P02130090012,"PLACA DESGASTE CBM-08 OP (PROY 31)"
P02130090013,"PLACA DESGASTE CBM-09 MO (PROY 31)"
P02130090014,"PLACA DESGASTE CBM-09 OP (PROY 31)"
P02130090015,"PLACA DESGASTE CBM-10 MO (PROY 31)"
P02130090016,"PLACA DESGASTE CBM-10 OP (PROY 31)"
P02130090017,"PLACA DESGASTE CBM-11 MO (PROY 31)"
P02130090018,"PLACA DESGASTE CBM-11 OP (PROY 31)"
P02130090019,"PLACA DESGASTE CBM-12 MO (PROY 31)"
P02130090020,"PLACA DESGASTE CBM-12 OP (PROY 31)"
P02130090021,"PLACA DESGASTE CBM-13 MO (PROY 31)"
P02130090022,"PLACA DESGASTE CBM-13 OP (PROY 31)"
P02130090023,"PLACA DESGASTE CBM-14 MO (PROY 31)"
P02130090024,"PLACA DESGASTE CBM-14 OP (PROY 31)"
P02130090025,"PLACA DESGASTE CBM-15 MO (PROY 31)"
P02130090026,"PLACA DESGASTE CBM-15 OP (PROY 31)"
P02130090027,"PLACA DESGASTE CBM-16 MO (PROY 31)"
P02130090028,"PLACA DESGASTE CBM-16 OP (PROY 31)"
P02130090029,"PLACA DESGASTE CBM-17 MO (PROY 31)"
P02130090030,"PLACA DESGASTE CBM-17 OP (PROY 31)"
P02130090031,"PLACA DESGASTE CBM-18 MO (PROY 31)"
P02130090032,"PLACA DESGASTE CBM-18 OP (PROY 31)"
P02130090033,"PLACA DESGASTE CBM-19 MO (PROY 31)"
P02130090034,"PLACA DESGASTE CBM-19 OP (PROY 31)"
P02130090035,"PLACA DESGASTE CBM-20 MO (PROY 31)"
P02130090036,"PLACA DESGASTE CBM-20 OP (PROY 31)"
P02130090037,"PLACA DESGASTE CBM-21 MO (PROY 31)"
P02130090038,"PLACA DESGASTE CBM-21 OP (PROY 31)"
P02130090039,"PLACA DESGASTE CBM-22 MO (PROY 31)"
P02130090040,"PLACA DESGASTE CBM-22 OP (PROY 31)"
P02130090041,"PLACA DESGASTE CBM-23 MO (PROY 31)"
P02130090042,"PLACA DESGASTE CBM-23 OP (PROY 31)"
P02130090043,"PLACA DESGASTE CBM-24 MO (PROY 31)"
P02130090044,"PLACA DESGASTE CBM-24 OP (PROY 31)"
P02130090045,"PLACA DESGASTE CBM-25  (PROY 31)"
P02130090046,"PLACA DESGASTE CBM-26  (PROY 31)"
P02130090047,"PLACA DESGASTE CBM-27  (PROY 31)"
P02130090048,"PLACA DESGASTE CBM-28  (PROY 31)"
P02130090049,"PLACA DESGASTE CBM-29  (PROY 31)"
P02130090050,"PLACA DESGASTE CBM-30  (PROY 31)"
P02130090051,"PLACA DESGASTE CBM-31  (PROY 31)"
P02130090052,"PLACA DESGASTE CBM-32  (PROY 31)"
P02130090053,"PLACA DESGASTE CBM-33 MO (PROY 31)"
P02130090054,"PLACA DESGASTE CBM-33 OP (PROY 31)"
P02130090055,"PLACA DESGASTE CBM-34 MO (PROY 31)"
P02130090056,"PLACA DESGASTE CBM-34 OP (PROY 31)"
P02130090057,"PLACA DESGASTE CBM-35 MO (PROY 31)"
P02130090058,"PLACA DESGASTE CBM-35 OP (PROY 31)"
P02130090059,"PLACA DESGASTE CBM-36 MO (PROY 31)"
P02130090060,"PLACA DESGASTE CBM-36 OP (PROY 31)"
P02130090061,"PLACA DESGASTE CBM-37 MO (PROY 31)"
P02130090062,"PLACA DESGASTE CBM-37 OP (PROY 31)"
P02130090063,"PLACA DESGASTE CBM-38 MO (PROY 31)"
P02130090064,"PLACA DESGASTE CBM-38 OP (PROY 31)"
P02130090065,"PLACA DESGASTE CBM-39 MO (PROY 31)"
P02130090066,"PLACA DESGASTE CBM-39 OP (PROY 31)"
P02130090067,"PLACA DESGASTE CBM-40 MO (PROY 31)"
P02130090068,"PLACA DESGASTE CBM-40 OP (PROY 31)"
P02130090069,"PLACA DESGASTE CBM-41 MO (PROY 31)"
P02130090070,"PLACA DESGASTE CBM-41 OP (PROY 31)"
P02130090071,"PLACA DESGASTE CBM-42 MO (PROY 31)"
P02130090072,"PLACA DESGASTE CBM-42 OP (PROY 31)"
P02130090073,"PLACA DESGASTE CBM-43 MO (PROY 31)"
P02130090074,"PLACA DESGASTE CBM-43 OP (PROY 31)"
P02130090075,"PLACA DESGASTE CBM-44 MO (PROY 31)"
P02130090076,"PLACA DESGASTE CBM-44 OP (PROY 31)"
P02130090077,"PLACA DESGASTE CBM-45 MO (PROY 31)"
P02130090078,"PLACA DESGASTE CBM-45 OP (PROY 31)"
P02130090079,"PLACA DESGASTE CBM-46 MO (PROY 31)"
P02130090080,"PLACA DESGASTE CBM-46 OP (PROY 31)"
P02130090081,"PLACA DESGASTE CBM-47 MO (PROY 31)"
P02130090082,"PLACA DESGASTE CBM-47 OP (PROY 31)"
P02130090083,"PLACA DESGASTE CBM-48 MO (PROY 31)"
P02130090084,"PLACA DESGASTE CBM-48 OP (PROY 31)"
P02130090085,"PLACA DESGASTE CBM-49 MO (PROY 31)"
P02130090086,"PLACA DESGASTE CBM-49 OP (PROY 31)"
P02130090087,"PLACA DESGASTE CBM-50 MO (PROY 31)"
P02130090088,"PLACA DESGASTE CBM-50 OP (PROY 31)"
P02130090089,"PLACA DESGASTE CBM-51 MO (PROY 31)"
P02130090090,"PLACA DESGASTE CBM-51 OP (PROY 31)"
P02130090091,"PLACA DESGASTE CBM-52 MO (PROY 31)"
P02130090092,"PLACA DESGASTE CBM-52 OP (PROY 31)"
P02130090093,"PLACA DESGASTE CBM-53 MO (PROY 31)"
P02130090094,"PLACA DESGASTE CBM-53 OP (PROY 31)"
P02130090095,"PLACA DESGASTE CBM-54 MO (PROY 31)"
P02130090096,"PLACA DESGASTE CBM-54 OP (PROY 31)"
P02130090097,"PLACA DESGASTE CBM-55 MO (PROY 31)"
P02130090098,"PLACA DESGASTE CBM-55 OP (PROY 31)"
P02130090099,"PLACA DESGASTE CBM-56 MO (PROY 31)"
P02130090100,"PLACA DESGASTE CBM-56 OP (PROY 31)"
P02146599001,"CONJUNTO MANILLA (PROY 310)"
P02146599002,"CONJUNTO PIVOTE (PROY 310)"
P02146599003,"CONJUNTO BARANDA REMOVIBLE (PROY 310)"
P02146599004,"CONJUNTO BISAGRA (PROY 310)"
P02146599005,"PROTECCION FIJA (PROY 310)"
P02146599006,"COMPUERTA INSPECCION N°1 (PROY 310)"
P02146599007,"COMPUERTA INSPECCION N°2 (PROY 310)"
P02146599008,"COMPUERTA INSPECCION N°3 (PROY 310)"
P02146599009,"COMPUERTA INSPECCION N°4 (PROY 310)"
P02146599010,"COMPUERTA INSPECCION N°5 (PROY 310)"
P00110099001,"KIT PROYECTO CONJUNTO CHUTE TROMMEL"
P00100099001,"CORTINAS SAG 5 (11077319)"
O02000057003,"PERNO MOLINO 3/4 X 82 MM G8.8, GOLILLA PRESION, GOLILLA PLANA Y TUERCA HEX"
P00140090001,"BARRA DESGASTE CALUGONES PL -19 (PROY 220)"
M01043599001,"MODELO CONTRAPESO GRUA HORQUILLA HYSTER MH360XL"
P02020899011,"PIN CPN 12056"
C00000099001,"LOTE N° 05011801"
P02031828001,"DESMONTADOR ARO 51 A"
P02031828002,"DESMONTADOR ARO 51"
P02020899012,"BOSS MEDIUM BOS 24000"
P02031828003,"DESMONTADOR BAILAC ARO 63"
P02020899013,"EDGE LINER EDG 32002"
P01000002002,"ACOPLE HEMBRA"
P01010205001,"APRON FEEDER  3/4"
P01010205002,"APRON FEEDER  -97 1/2"
P01010221007,"CORAZA CHUTE ALIM PL03AG-400-004"
P01010221008,"CORAZA CHUTE ALIM PL03G-400-004"
P01010221012,"CORAZA Nº 7"
P01010235002,"ESLABON PARA CADENA PL SK-3620"
P01010241003,"JGO. PLACA REVESTIMIENTO CHUTE Nº 6"
P01010243002,"LAINA FIJA SI-97675-A"
P01010252003,"MANTO 3' ROBINS"
P01010252004,"MANTO 3' S.H."
P01010254006,"MUELA FIJA 30X42 B1-273-888 TELSMITH"
P01010254013,"MUELA MOVIL FURLAND 118-B-020-P"
P01010254015,"MUELA MOVIL 30X42 B1-273-881 TELSMITH"
P01010254019,"MUELA MOVIL CT 20X36"
P01010254023,"MUELA MOVIL PEX 400"
P01010254024,"MUELA MOVIL PEX 500"
P01020704005,"ANILLO ALIMENTACIÓN OSS2932361L"
P01020707020,"BARRA DESGASTE LIP LINNER TIPO B2"
P01020707043,"BARRA DE DESGASTE BD1 (PL3542)"
P01020721006,"CORAZA Nº 4"
P01020721007,"CORAZA Nº 5"
P01020721008,"CORAZA Nº 6"
P01020721013,"CORAZA COLGANTE C"
P01020721014,"CORAZA COLGANTE D"
P01020725015,"CUÑA LATERAL PEX 250X1200"
P01020747001,"LIFTER TIPO XII"
P01020747002,"LIFTER TIPO XIV"
P01020760001,"PLACA B03 - 173300"
P01020761016,"PLANCHA DESGASTE B13-1"
P01020761017,"PLANCHA DESGASTE B13-2"
P01020761018,"PLANCHA DESGASTE B14-1"
P01020761019,"PLANCHA DESGASTE B14-2"
P01020778003,"SUFRIDERA PEX 250X1200"
P01020789001,"YUNQUE PIONER"
P01020800001,"RODILLO JCB-11"
P01020807025,"BARRA DE FIJACION 100X100X500"
P01020807026,"BARRA DESGASTE PL 100X194X94"
P01020809001,"BLOQUE DESGASTE B6M"
P01020839001,"INNER CAP 99917"
P01020840002,"INSERTO 23021 R2"
P01020840004,"INSERTO 23022 R2"
P01020840006,"INSERTO 23023 R2"
P01020841002,"JGO. PLACA REVESTIMIENTO CHUTE Nº 2"
P01020842001,"LIP LINER TYPE B5"
P01020842002,"LIP LINER TYPE B6"
P01020842003,"LIP LINER TYPE B4"
P01020842004,"LIP LINER TYPE B7"
P01020842005,"LIP LINER TYPE B8"
P01020842006,"LIP LINER TYPE B9"
P01020850001,"LOWER POCKET LINNER 99912"
P01020860048,"PLACA 99912"
P01020860043,"PLACA DESGASTE PL 40X394X194"
P01020860044,"PLACA DESGASTE PL 40X394X210"
P01020860045,"PLACA DESGASTE PL 25X394X394"
P01020890056,"PLACA DESGASTE CF-01  (PROY 24)"
P01020890057,"PLACA DESGASTE CF-02  (PROY 24)"
P01020890058,"PLACA DESGASTE CF-03  (PROY 24)"
P01020890059,"PLACA DESGASTE CF-04  (PROY 24)"
P01020890060,"PLACA DESGASTE CF-05  (PROY 24)"
P01020890061,"PLACA DESGASTE CF-06  (PROY 24)"
P01020890062,"PLACA DESGASTE CF-07  (PROY 24)"
P01020890063,"PLACA DESGASTE CF-08  (PROY 24)"
P01020890064,"PLACA DESGASTE CF-09  (PROY 24)"
P01020890065,"PLACA DESGASTE CF-10  (PROY 24)"
P01020890066,"PLACA DESGASTE CF-11  (PROY 24)"
P01020890067,"PLACA DESGASTE CF-12  (PROY 24)"
P01020890068,"PLACA DESGASTE CF-13  (PROY 24)"
P01020890069,"PLACA DESGASTE CF-14  (PROY 24)"
P01020890070,"PLACA DESGASTE CF-15  (PROY 24)"
P01020890071,"PLACA DESGASTE CF-16  (PROY 24)"
P01020890072,"PLACA DESGASTE CF-17  (PROY 24)"
P01020890073,"PLACA DESGASTE CF-18  (PROY 24)"
P01020890074,"PLACA DESGASTE CF-19  (PROY 24)"
P01020890075,"PLACA DESGASTE CF-20  (PROY 24)"
P01020890076,"PLACA DESGASTE CF-21  (PROY 24)"
P01020890175,"PLACA CF-01 MO (PROY 36)"
P01020890176,"PLACA CF-01 OP (PROY 36)"
P01020890177,"PLACA CF-02 MO (PROY 36)"
P01020890178,"PLACA CF-02 OP (PROY 36)"
P01020890179,"PLACA CF-04 MO (PROY 36)"
P01020890180,"PLACA CF-04 OP (PROY 36)"
P01020890181,"PLACA CF-05 MO (PROY 36)"
P01020890182,"PLACA CF-05 OP (PROY 36)"
P01020890183,"PLACA CF-06 MO (PROY 36)"
P01020890184,"PLACA CF-06 OP (PROY 36)"
P01020890185,"PLACA CF-07 MO (PROY 36)"
P01020890186,"PLACA CF-07 OP (PROY 36)"
P01020890187,"PLACA CF-08  (PROY 36)"
P01020890188,"PLACA CF-09 MO (PROY 36)"
P01020890189,"PLACA CF-09 OP (PROY 36)"
P01020890190,"PLACA CF-10 MO (PROY 36)"
P01020890191,"PLACA CF-10 OP (PROY 36)"
P01020890192,"PLACA CF-11 MO (PROY 36)"
P01020890193,"PLACA CF-11 OP (PROY 36)"
P01020890194,"PLACA CF-12 MO (PROY 36)"
P01020890195,"PLACA CF-12 OP (PROY 36)"
P01020890196,"PLACA CF-13 MO (PROY 36)"
P01020890197,"PLACA CF-13 OP (PROY 36)"
P01020890283,"PLACA DESGASTE CF-01  (PROY 56)"
P01020890284,"PLACA DESGASTE CF-02  (PROY 56)"
P01020890285,"PLACA DESGASTE CF-03  (PROY 56)"
P01020890286,"PLACA DESGASTE CF-04 MO (PROY 56)"
P01020890287,"PLACA DESGASTE CF-04 OP (PROY 56)"
P01020890288,"PLACA DESGASTE CF-05 MO (PROY 56)"
P01020890289,"PLACA DESGASTE CF-05 OP (PROY 56)"
P01020890290,"PLACA DESGASTE CF-06 MO (PROY 56)"
P01020890291,"PLACA DESGASTE CF-06 OP (PROY 56)"
P01020890292,"PLACA DESGASTE CF-07 MO (PROY 56)"
P01020890293,"PLACA DESGASTE CF-07 OP (PROY 56)"
P01020890294,"PLACA DESGASTE CF-08  (PROY 56)"
P01020890295,"PLACA DESGASTE CF-09 MO (PROY 56)"
