idproduccion,idfabricaciones,idordenproduccion,cantidad,1,2,3,4,5,6,7,8,standby,f_gen
3633,13403,14520,66,0,0,50,0,0,0,0,16,0,"2018-01-31 15:59:55"
3634,13408,14521,1,0,0,1,0,0,0,0,0,0,"2018-01-31 16:14:42"
