idordenfabricacion,numordenfabricacion,creacion,estado
14497,5913,"2018-01-31 13:17:59",incompleto
14498,5914,"2018-01-31 13:19:28",incompleto
14499,5915,"2018-01-31 13:20:35",incompleto
14500,5916,"2018-01-31 13:23:48",incompleto
14501,5917,"2018-01-31 13:24:20",incompleto
14502,5918,"2018-01-31 13:24:49",incompleto
14503,5919,"2018-01-31 13:25:35",incompleto
14505,5920,"2018-01-31 13:27:47",incompleto
14506,5922,"2018-01-31 13:33:03",incompleto
