"idmaterial","u_medida","f_aprov","leadtime","precio","abc","tipo","especificacion","idproducto","estado","detalle","caracteristica","stock","codigo"
59,"","",0,0,"","I",4,84,"fin","POLVO EXOTÉRMICO",99,0,"I040000990144"
60,"","",0,0,"","I",4,85,"fin","REDUCCION 100X80",99,0,"I040000990145"
61,"","",0,0,"","I",4,86,"fin","REDUCCION 80X60",99,0,"I040000990146"
62,"","",0,0,"","I",4,87,"fin","REFRACTARIO BOBINA EN POLVO",99,0,"I040000990147"
63,"","",0,0,"","I",4,88,"fin","RESINA FENÓLICA ESTANQUE 1",99,0,"I040000990148"
64,"","",0,0,"","I",4,89,"fin","RESINA FENÓLICA ESTANQUE 2",99,0,"I040000990149"
65,"","",0,0,"","I",4,90,"fin","BARRA REDONDA SEA 1020 25,4 MM",99,0,"I04000099015"
66,"","",0,0,"","I",4,91,"fin","SOLDADURA 6011 1/8""",99,0,"I040000990150"
67,"","",0,0,"","I",4,92,"fin","SOLDADURA 6011 5/32""",99,0,"I040000990151"
68,"","",0,0,"","I",4,93,"fin","SOLDADURA 7018 1/8""",99,0,"I040000990152"
69,"","",0,0,"","I",4,94,"fin","SOLDADURA FE FUNDIDO 3,25MM",99,0,"I040000990153"
70,"","",0,0,"","I",4,95,"fin","SOLDADURA INOXIDABLE 5/32""",99,0,"I040000990154"
71,"","",0,0,"","I",4,96,"fin","SOLDADURA MANGANESO 5/32""",99,0,"I040000990155"
72,"","",0,0,"","I",4,97,"fin","T 60X60X60",99,0,"I040000990156"
73,"","",0,0,"","I",4,98,"fin","T 80X80X80",99,0,"I040000990157"
74,"","",0,0,"","I",4,99,"fin","TAPA DISTRIBUIDOR",99,0,"I040000990158"
75,"","",0,0,"","I",4,100,"fin","TERMOCUPLAS",99,0,"I040000990159"
76,"","",0,0,"","I",4,101,"fin","JUEGO CERAMICO ROTOR 765 ",99,0,"I04000099016"
77,"","",0,0,"","I",4,102,"fin","ZUNCHO METALICO 1/2""",99,0,"I040000990160"
