COD. PRODUCTO,DESCRIPCION PRODUCTO,RUTA,ALEACION
P01010212013,Bowl Liner 4 1/4' Especial,1-2-3-4-5-6-7-8,A 128 C
P01010252018,Manto 4 1/4' Especial,1-2-3-4-5-6-7-8,A 128 C
P01085999001,"Cuerpo V. Cuchillo 14"" WS",1-2-3-4-7-8,SV-536 80-55-06
P01085799003,"Cuerpo Valv. Cuchillo 24"" WB",1-2-3-4-7-8,SV-536 60-40-18
P01085799004,Bearing Housing - Grease M200 Mech. End,1-2-3-4-7-8,SV-536 60-40-18
P01020707044,Barra Desgaste B1 SG,1-2-3-4-5-7-8,A 532 II B
P01043160002,Placa Desgaste LP1 SG,1-2-3-4-5-7-8,SV-450
P01010208003,"Bandeja Apron Feeder 120""",1-2-3-4-5-6-7-8,A 128 C
P01085999002,"Cuerpo V.Cuchillo 18"" WH",1-2-3-4-7-8,SV-536 80-55-06 
