Codigo,Descripcion,Stock
P01020761599,PLANCHA DESGASTE P78 (PROY LOS COLORADOS),50
P01020761600,PLANCHA DESGASTE P79 (PROY LOS COLORADOS),0
P01020761601,PLANCHA DESGASTE P80 (PROY LOS COLORADOS),0
P02000063001,PLOMO PARA MEDICION SETTING COD. 715839,0
P01085764001,POLEA MOTRIZ GSG135,0
P01020766003,PROTECTOR TAPA CANICA ER 36 B,0
P01020766003,PROTECTOR TAPA CANICA ER 36 C,3
P01010170001,ROTOR 1145,0
P01010170001,ROTOR 1145,0
P01010170001,ROTOR 1145,0
P01010170001,ROTOR 1145,0
P01010170003,ROTOR 765,0
P01010170003,ROTOR 765,0
P01010170003,ROTOR 765,0
P01010170003,ROTOR 765,0
P01010170003,ROTOR 765,0
P01010170003,ROTOR 765,0
P01043975001 ,"SOLERA PARA TRAPICHE 2,04MT EXT X 1,5 MTS X 1500MM ALTO",0
P01043975001 ,"SOLERA PARA TRAPICHE 2,04MT EXT X 1,5 MTS X 1500MM ALTO",0
P01085780001,TAPA CARCAZA GSG4,0
P01042780003,TAPA DE SELLADO 765,0
P01085793002,THROATBUSH REINFORCING,0
P01085793002,THROATBUSH REINFORCING,0
P01031784001,TUBO ALIMENTACION,0
P01020786003,UPPER FLAT LINER 99913,0
P02020899009,UPPER FLAT LINER UFL-32400,0
P01020786002,UPPER POCKET LINER 99914,0
P02020899003,UPPER RAMP LINER URL-32000-K2,0
P01020789002,YUNQUE ANV 7000,0
