INSUMO,CODIGO,UNIDAD,PROVEEDOR,MONEDA,COSTO,EMBALAJE
ALMA OREJA PRS 765,ALMA OREJA PRS 765,Un,SIDERVAL,,,
ALMA PERFORACION CANALON,S01000099001,Un,SIDERVAL,,,Un
ALMA PERFORACION FRID 765,ALMA PERFORACION FRID 765,Un,SIDERVAL,,,
ALMA PERFORACION FRII 765,ALMA PERFORACION FRII 765,Un,SIDERVAL,,,
ALMA PERFORACION FRS 765,ALMA PERFORACION FRS 765,Un,SIDERVAL,,,
ALMA PERFORACION INSERTO 23021 R2,ALMA PERFORACION INSERTO 23021 R2,Un,SIDERVAL,,,
ALMA PERFORACION INSERTO 23022 R2,ALMA PERFORACION INSERTO 23022 R2,Un,SIDERVAL,,,
ALMA PERFORACION INSERTO 23023 R2,ALMA PERFORACION INSERTO 23023 R2,Un,SIDERVAL,,,
ALMA PERFORACION INSERTO 23240 R0,ALMA PERFORACION INSERTO 23240 R0,Un,SIDERVAL,,,
ALMA PERFORACION INSERTO 23241 R0,ALMA PERFORACION INSERTO 23241 RO,Un,SIDERVAL,,,
ALMA PERFORACION INSERTO 23288 R1,ALMA PERFORACION INSERTO 23288,Un,SIDERVAL,,,
ALMA PERFORACION INSERTO 23289 R0,ALMA PERFORACION INSERTO 23289,Un,SIDERVAL,,,
ALMA PERFORACION INSERTO 233595,ALMA PERFORACION INSERTO 233595,Un,SIDERVAL,,,
ALMA PERFORACION INSERTO 234747,ALMA PERFORACION INSERTO 234747,Un,SIDERVAL,,,
ALMA PERFORACION PLACA LP9,ALMA PERFORACION PLACA LP9,Un,SIDERVAL,,,
ALMA PERFORACION PROY 27,,Un,SIDERVAL,,,
ALMA PERFORACION PROY 29,,Un,SIDERVAL,,,
ALMA PERFORACION PROY 39,,Un,SIDERVAL,,,
ALMA PERFORACION PROY 48,,Un,SIDERVAL,,,
ALMA PERFORACION PRS 765,ALMA PERFORACION PRS 765,Un,SIDERVAL,,,
ALMA PERFORACION THROATBUSH,ALMA PERFORACION THROATBUSH,Un,SIDERVAL,,,
ALMA PERFORACION YUNQUE ANV 7000,ALMA PERFORACION YUNQUE ANV 7000,Un,SIDERVAL,,,
ALMA PERNO CR ROTOR 765,S01000099004,Un,SIDERVAL,,,
ALMA RETAPE DERECHO INSERTO 23021 R2,ALMA RETAPE DERECHO INSERTO 23021 R2,Un,SIDERVAL,,,
ALMA RETAPE DERECHO INSERTO 23240 R0,ALMA RETAPE DERECHO INSERTO 23240 R0,Un,SIDERVAL,,,
ALMA RETAPE DERECHO INSERTO 23241 R0,ALMA RETAPE DERECHO INSERTO 23241 R0,Un,SIDERVAL,,,
ALMA RETAPE DERECHO INSERTO 23022 R2,ALMA RETAPE DERECHO INSERTO 23022 R2,Un,SIDERVAL,,,
ALMA RETAPE DERECHO INSERTO 23023 R2,ALMA RETAPE DERECHO INSERTO 23023 R2,Un,SIDERVAL,,,
ALMA RETAPE DERECHO INSERTO 23288 R1,ALMA RETAPE DERECHO INSERTO 23288,Un,SIDERVAL,,,
ALMA RETAPE DERECHO INSERTO 23289 R0,ALMA RETAPE DERECHO INSERTO 23289,Un,SIDERVAL,,,
ALMA RETAPE DERECHO INSERTO 233595,ALMA RETAPE DERECHO INSERTO 233595,Un,SIDERVAL,,,
ALMA RETAPE DERECHO INSERTO 234747,ALMA RETAPE IZQUIERDO INSERTO 234747,Un,SIDERVAL,,,
ALMA RETAPE IZQUIERDO INSERTO 23021 R2,ALMA RETAPE IZQUIERDO INSERTO 23021 R2,Un,SIDERVAL,,,
ALMA RETAPE IZQUIERDO INSERTO 23022 R2,ALMA RETAPE IZQUIERDO INSERTO 23022 R2,Un,SIDERVAL,,,
ALMA RETAPE IZQUIERDO INSERTO 23023 R2,ALMA RETAPE IZQUIERDO INSERTO 23023 R2,Un,SIDERVAL,,,
ALMA RETAPE IZQUIERDO INSERTO 23240 R0,ALMA RETAPE IZQUIERDO INSERTO 23240 R0,Un,SIDERVAL,,,
ALMA RETAPE IZQUIERDO INSERTO 23241 R0,ALMA RETAPE IZQUIERDO INSERTO 23241 R0,Un,SIDERVAL,,,
