5506,03+AC0-02+AC0-17
5525,27+AC0-02+AC0-17
5553,14+AC0-03+AC0-17
5622,03+AC0-05+AC0-17
5769,14+AC0-09+AC0-17
5853,01+AC0-12+AC0-17
5731,21+AC0-08+AC0-17
5757,07+AC0-09+AC0-17
5758,07+AC0-09+AC0-17
5759,07+AC0-09+AC0-17
5783,04+AC0-10+AC0-17
5784,04+AC0-10+AC0-17
5785,04+AC0-10+AC0-17
5786,04+AC0-10+AC0-17
5790,12+AC0-10+AC0-17
5809,24+AC0-10+AC0-17
5813,31+AC0-10+AC0-17
5819,06+AC0-11+AC0-17
5826,08+AC0-11+AC0-17
5830,10+AC0-11+AC0-17
5831,13+AC0-11+AC0-17
5837,15+AC0-11+AC0-17
5839,17+AC0-11+AC0-17
5843,20+AC0-11+AC0-17
5845,27+AC0-11+AC0-17
5847,29+AC0-11+AC0-17
5848,28+AC0-11+AC0-17
5849,28+AC0-11+AC0-17
5852,30+AC0-11+AC0-17
5876,14+AC0-12+AC0-17
5859,04+AC0-12+AC0-17
5863,04+AC0-12+AC0-17
5871,14+AC0-12+AC0-17
5872,14+AC0-12+AC0-17
5873,14+AC0-12+AC0-17
5879,14+AC0-12+AC0-17
5882,19+AC0-12+AC0-17
5885,21+AC0-12+AC0-17
5886,21+AC0-12+AC0-17
5887,26+AC0-12+AC0-17
5888,26+AC0-12+AC0-17
5889,27+AC0-12+AC0-17
5890,27+AC0-12+AC0-17
5892,29+AC0-12+AC0-17
5893,29+AC0-12+AC0-17
5894,29+AC0-12+AC0-17
5895,02+AC0-01+AC0-18
5896,02+AC0-01+AC0-18
5897,03+AC0-01+AC0-18
5898,05+AC0-01+AC0-18
5899,08+AC0-01+AC0-18
5900,09+AC0-01+AC0-18
5901,10+AC0-01+AC0-18
5902,10+AC0-01+AC0-18
5903,10+AC0-01+AC0-18
5904,11+AC0-01+AC0-18
5905,11+AC0-01+AC0-18
5906,15+AC0-01+AC0-18
5907,16+AC0-01+AC0-18
5909,17+AC0-01+AC0-18
5910,18+AC0-01+AC0-18
5911,19+AC0-01+AC0-18
