idmaterial,u_medida,f_aprov,leadtime,precio,abc,tipo,especificacion,idproducto,estado,detalle,caracteristica
388,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE P28",61
389,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE P29",61
390,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE P3",61
391,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE P30",61
392,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE P31",61
393,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE P32",61
394,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE P33",61
395,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE P3-36",61
396,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE P3-37",61
397,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE P34",61
398,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE P35",61
399,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE P36",61
400,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE P37",61
401,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE P38",61
402,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE P39",61
403,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE P40",61
404,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE P41",61
405,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE P42",61
406,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE P43",61
407,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE P44",61
408,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE P45",61
409,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE P46",61
410,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE P47",61
411,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE P48",61
412,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE P49",61
413,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE P51",61
414,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE P13",61
415,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA TIPO XVII",61
416,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE P1DG001",61
417,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE P1DG002",61
418,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE P1DG003",61
419,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE P1DG004",61
420,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE P1DG005",61
421,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE P1DG006",61
422,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE P1DG007",61
423,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE P1DG008",61
424,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE P1DG009",61
425,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE P1DG010",61
426,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE P1DG011",61
427,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE P1DG012",61
428,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE P1DG013",61
429,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE P1DG014",61
430,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE P1DG015",61
431,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE P1DG016",61
432,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE P1DG017",61
433,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE P1DG018",61
434,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE P1DG019",61
435,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE P1DG020",61
436,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE P1DG021",61
437,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE P1DG022",61
